Rank,Player,1QB,2QB,Position
1,Lamar Jackson,46,81,QB
2,Josh Allen,45,80,QB
3,Jalen Hurts,38,72,QB
4,Jayden Daniels,30,65,QB
5,Justin Herbert,24,56,QB
6,Baker Mayfield,15,49,QB
7,Patrick Mahomes II,15,49,QB
8,Caleb Williams,15,49,QB
9,Drake Maye,14,48,QB
10,Brock Purdy,13,47,QB
11,Justin Fields,12,46,QB
12,Daniel Jones,11,45,QB
13,Kyler Murray,10,44,QB
14,Jordan Love,9,43,QB
15,Jared Goff,9,43,QB
16,Bo Nix,9,43,QB
17,Dak Prescott,8,41,QB
18,Jaxson Dart,7,39,QB
19,Geno Smith,5,36,QB
20,Trevor Lawrence,5,36,QB
21,Matthew Stafford,5,36,QB
22,C.J. Stroud,4,34,QB
23,Michael Penix Jr.,3,32,QB
24,Bryce Young,2,30,QB
25,Sam Darnold,2,30,QB
26,J.J. McCarthy,1,28,QB
27,Tua Tagovailoa,1,27,QB
28,Jake Browning,1,26,QB
29,Cam Ward,1,25,QB
30,Aaron Rodgers,1,24,QB
31,Spencer Rattler,0,18,QB
32,Joe Flacco,0,17,QB
33,Carson Wentz,0,15,QB
34,Marcus Mariota,0,7,QB
35,Tyrod Taylor,0,7,QB
36,Dillon Gabriel,0,7,QB
37,Russell Wilson,0,5,QB
38,Mac Jones,0,4,QB
39,Tyler Shough,0,3,QB
40,Kirk Cousins,0,1,QB
